baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ATP4A	2.80443864115182	-1.54922401920154	0.448566016785291	-3.45372578668412	0.000552899254202227	0.0168299251136924
GAPDHS	1.30817893440005	-1.1954155965503	0.395439197403965	-3.02300734069393	0.00250276172222572	0.0417386951534509
HOXA13	19.3109949155804	-2.57954724672861	0.578182295940282	-4.46147740053777	8.13965315013817e-06	0.000885708480728333
MOGAT3	1.76522454702667	-1.62613762349339	0.526149666502791	-3.09063699365618	0.0019972764649735	0.0365076430278299
LHX2	20.1894266546974	-1.0739566699035	0.3382433250584	-3.17510085296754	0.00149784432257128	0.0303706237903896
KCNT1	39.4881128432644	-1.27456854064723	0.268998667929302	-4.73819647680265	2.15628696097602e-06	0.000300439937585349
CYP2C18	115.394581223543	-1.63293929055824	0.300114896096374	-5.44104711828052	5.29683008482379e-08	1.57721659049959e-05
KRT23	112.575906258024	-1.24655454320385	0.348589351778414	-3.57599719223851	0.000348895395159819	0.0123748940206398
ALDH3A1	1543.67009391413	-1.33610834760505	0.354442314576135	-3.76960733145774	0.000163504584400443	0.00762666951974557
CCL1	4.6338702960918	-1.05705858989914	0.32978886325302	-3.20525859931219	0.00134941184840205	0.028585389373809
ANXA10	92.7958643119304	-2.29456769276527	0.417603021210762	-5.49461468480903	3.91564398430933e-08	1.2357036139543e-05
APOC3	2.43192945528181	-2.51204345051099	0.77570516143892	-3.23839981398498	0.00120202229767177	0.0267524227226852
KIAA1549L	96.7388088737501	-1.03684149365079	0.246795875679505	-4.20121078116093	2.6549126062168e-05	0.00209908647022148
FZD10	173.812398655051	-1.02775545654309	0.309905748564244	-3.31634847467192	0.000912020292521712	0.022814719011368
IL17A	2.87314094822385	-1.59326318277999	0.461912732568727	-3.44927314282883	0.000562097811977277	0.0170385475219702
SIM1	9.04985436307613	-1.47461522054038	0.490492333328201	-3.00639810317621	0.00264362639501531	0.0430761771328996
GABRG2	16.8746291117242	-2.97060532181178	0.664560677909613	-4.47002872808525	7.82090915889238e-06	0.000856888512978586
IRX4	6.62661921523559	-3.00613923432951	0.599769402979077	-5.01215837186409	5.38228763128187e-07	0.000104047228382105
AGXT2	2.83874676766667	-1.56028101463193	0.525087149469369	-2.97147057628184	0.00296377271910057	0.0459096473119936
KNG1	11.1596704404096	-2.89411947890552	0.443219124637171	-6.52977120803331	6.58702342812563e-11	5.17473757524857e-08
FGF12	173.366673116703	-1.04792520550928	0.273355374037574	-3.83356357707909	0.00012630013827967	0.00635337875436
UPK1B	202.096050013184	-4.19598074755674	0.488755283709314	-8.58503403935022	9.08095365583823e-18	3.72551168705017e-14
SLC9A2	121.83195157009	-1.45378797260024	0.31849442869242	-4.56456327530994	5.00535220088811e-06	0.00060793624774142
DLX2	4.10280700896123	-2.50386809639053	0.456162654665614	-5.48898089482131	4.04259342026726e-08	1.26495488861464e-05
LCT	60.4528666886366	-1.18244415223525	0.365509853790877	-3.23505410311529	0.00121619682965756	0.0269694377563641
KYNU	1969.91575616747	-1.00653644510228	0.259283512961817	-3.88199169937392	0.000103604414669474	0.00549624396959914
TNNT2	51.6101034999353	-1.1799799106507	0.260652461981989	-4.52702384500109	5.98201923633703e-06	0.000694572629758717
OTUD4P1	5.48693636913669	-1.15898849548148	0.301278199245502	-3.84690461634449	0.000119619511193835	0.00614285286760773
GDA	124.07484162988	-2.79643537204837	0.385970118237649	-7.24521210299123	4.31762983991031e-13	8.39051824100044e-10
ONECUT2	191.391123775224	-1.48140668370198	0.320492214551573	-4.62228602268774	3.79534218154429e-06	0.000478277881806006
HOXB1	3.29204620485564	-1.82705927880475	0.506114662018577	-3.60997105185167	0.000306231179396916	0.0113637928008767
INSL6	15.5558973034355	-1.49778030021383	0.307020596326881	-4.87843590343094	1.06930400940748e-06	0.000172410095805032
